STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,06-MAR-11 06.26.05.158000000 PM,23-MAR-11 12.27.54.539000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,21-MAR-11 06.50.18.851000000 PM,22-MAR-11 08.18.13.381000000 AM,1,ME+4/1/02/3/HVSegment3
HV disabled channel,23-MAR-11 12.28.21.197000000 PM,23-MAR-11 12.31.21.335000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,23-MAR-11 12.31.27.365000000 PM,23-MAR-11 12.33.25.614000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,23-MAR-11 12.33.32.146000000 PM,23-MAR-11 12.46.45.254000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,23-MAR-11 12.47.05.488000000 PM,29-MAR-11 02.11.36.636000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,25-MAR-11 06.09.14.888000000 AM,25-MAR-11 06.09.20.131000000 AM,1,ME+3/2/23/4/HVSegment3
HV disabled channel,29-MAR-11 08.18.46.852000000 PM,07-SEP-15 02.52.28.933000000 PM,1,ME-3/2/03/5/HVSegment1
HV disabled channel,01-APR-11 07.27.27.079000000 AM,01-APR-11 11.43.36.785000000 AM,1,ME-2/1/01/3/HVSegment3
HV disabled channel,13-APR-11 03.22.29.654000000 PM,14-APR-11 11.36.08.253000000 AM,1,ME-2/1/15/6/HVSegment1
HV disabled channel,17-APR-11 07.55.58.119000000 AM,18-APR-11 08.15.45.700000000 AM,1,ME-3/1/18/5/HVSegment3
HV disabled channel,17-APR-11 09.07.10.249000000 AM,17-APR-11 02.18.18.125000000 PM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,17-APR-11 12.04.41.446000000 PM,17-APR-11 02.17.50.836000000 PM,1,ME-2/1/01/3/HVSegment3
HV disabled channel,17-APR-11 02.55.24.281000000 PM,18-APR-11 08.15.17.113000000 AM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,18-APR-11 08.57.56.261000000 AM,22-APR-11 10.12.43.945000000 AM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,18-APR-11 11.51.33.540000000 PM,22-APR-11 10.15.10.863000000 AM,1,ME-3/1/18/5/HVSegment3
HV disabled channel,21-APR-11 05.53.10.784000000 AM,22-APR-11 10.12.19.808000000 AM,1,ME-2/1/01/3/HVSegment3
HV disabled channel,21-APR-11 06.22.56.228000000 PM,22-APR-11 10.13.39.066000000 AM,1,ME-2/2/14/3/HVSegment1
HV disabled channel,22-APR-11 02.37.50.475000000 AM,22-APR-11 10.16.06.623000000 AM,1,ME+2/1/16/5/HVSegment3
HV disabled channel,22-APR-11 02.39.35.104000000 AM,22-APR-11 10.14.18.036000000 AM,1,ME-3/1/15/4/HVSegment3
HV disabled channel,22-APR-11 03.25.39.475000000 AM,22-APR-11 10.15.38.542000000 AM,1,ME-3/2/35/5/HVSegment5
HV disabled channel,22-APR-11 06.05.22.224000000 AM,22-APR-11 10.14.41.672000000 AM,1,ME-3/1/15/3/HVSegment3
HV disabled channel,22-APR-11 06.46.44.711000000 AM,22-APR-11 10.13.10.383000000 AM,1,ME-2/2/03/1/HVSegment5
HV disabled channel,22-APR-11 11.35.56.368000000 AM,23-APR-11 09.20.53.191000000 AM,1,ME-2/2/14/3/HVSegment1
HV disabled channel,22-APR-11 11.37.00.294000000 AM,23-APR-11 09.21.27.802000000 AM,1,ME-3/1/15/4/HVSegment3
HV disabled channel,22-APR-11 11.37.00.391000000 AM,23-APR-11 09.20.05.593000000 AM,1,ME-2/2/03/1/HVSegment5
HV disabled channel,22-APR-11 11.53.47.786000000 AM,23-APR-11 09.24.17.612000000 AM,1,ME-3/1/15/3/HVSegment3
HV disabled channel,22-APR-11 12.39.17.886000000 PM,23-APR-11 09.19.18.108000000 AM,1,ME-2/1/09/2/HVSegment1
HV disabled channel,22-APR-11 01.23.49.155000000 PM,23-APR-11 09.18.49.096000000 AM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,22-APR-11 03.10.37.820000000 PM,23-APR-11 09.30.27.350000000 AM,1,ME-3/1/18/5/HVSegment3
HV disabled channel,22-APR-11 03.24.45.387000000 PM,23-APR-11 09.30.53.965000000 AM,1,ME-3/2/35/5/HVSegment5
HV disabled channel,22-APR-11 09.10.10.295000000 PM,23-APR-11 09.47.13.812000000 AM,1,ME+3/2/25/3/HVSegment5
HV disabled channel,22-APR-11 10.29.11.945000000 PM,23-APR-11 09.36.03.800000000 AM,1,ME+2/2/02/4/HVSegment2
HV disabled channel,23-APR-11 01.36.23.066000000 AM,23-APR-11 09.18.12.808000000 AM,1,ME-2/1/01/3/HVSegment3
HV disabled channel,23-APR-11 05.04.54.280000000 AM,24-APR-11 11.05.49.381000000 AM,1,ME+1/3/09/6/HVSegment3
HV disabled channel,23-APR-11 12.49.54.673000000 PM,24-APR-11 10.55.59.063000000 AM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,23-APR-11 01.22.58.673000000 PM,24-APR-11 11.05.12.232000000 AM,1,ME+3/2/25/3/HVSegment5
HV disabled channel,23-APR-11 01.27.35.269000000 PM,24-APR-11 10.59.40.884000000 AM,1,ME-2/2/14/3/HVSegment1
HV disabled channel,23-APR-11 01.39.08.279000000 PM,24-APR-11 11.00.38.246000000 AM,1,ME-3/1/15/3/HVSegment3
HV disabled channel,23-APR-11 03.16.33.117000000 PM,24-APR-11 11.02.22.874000000 AM,1,ME-3/1/15/4/HVSegment3
HV disabled channel,23-APR-11 03.17.32.995000000 PM,24-APR-11 10.57.27.425000000 AM,1,ME-2/2/03/1/HVSegment5
HV disabled channel,23-APR-11 04.24.04.981000000 PM,24-APR-11 11.04.12.888000000 AM,1,ME-3/2/30/3/HVSegment5
HV disabled channel,23-APR-11 04.52.52.841000000 PM,24-APR-11 11.04.47.225000000 AM,1,ME+3/2/15/3/HVSegment5
HV disabled channel,24-APR-11 01.30.23.151000000 PM,24-APR-11 01.30.50.221000000 PM,1,ME-2/1/09/6/HVSegment3
HV disabled channel,24-APR-11 10.03.41.875000000 PM,26-APR-11 08.00.33.333000000 AM,1,ME-2/1/02/1/HVSegment3
HV disabled channel,25-APR-11 06.29.54.762000000 AM,26-APR-11 07.59.21.412000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,26-APR-11 05.22.21.046000000 AM,26-APR-11 08.02.01.922000000 AM,1,ME-2/2/03/1/HVSegment5
