STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,03-APR-17 04.07.46.755000000 PM,03-APR-17 04.17.50.351000000 PM,1,ME-1/3/20/1/HVSegment2
HV trip,08-APR-17 08.35.15.870000000 PM,08-APR-17 08.45.19.242000000 PM,1,ME-1/2/28/1/HVSegment1
HV trip,12-APR-17 08.39.53.829000000 PM,12-APR-17 08.49.57.142000000 PM,1,ME+4/2/24/6/HVSegment5
HV trip,14-APR-17 10.26.44.480000000 AM,14-APR-17 10.36.47.777000000 AM,1,ME-1/3/20/1/HVSegment1
HV trip,14-APR-17 10.42.57.968000000 AM,14-APR-17 10.53.01.414000000 AM,1,ME-1/3/20/1/HVSegment1
HV trip,14-APR-17 11.00.01.922000000 AM,14-APR-17 11.10.06.682000000 AM,1,ME-1/3/20/1/HVSegment1
HV trip,14-APR-17 08.44.44.647000000 PM,14-APR-17 08.54.48.032000000 PM,1,ME-4/2/23/2/HVSegment4
HV trip,23-APR-17 12.06.14.284000000 AM,23-APR-17 12.16.17.619000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,03-MAY-17 11.40.39.594000000 AM,03-MAY-17 11.50.48.288000000 AM,1,ME-4/2/16/1/HVSegment2
HV trip,03-MAY-17 11.40.40.007000000 AM,03-MAY-17 11.50.48.249000000 AM,1,ME-4/2/16/5/HVSegment2
HV trip,03-MAY-17 11.40.40.065000000 AM,03-MAY-17 11.50.48.207000000 AM,1,ME-4/2/16/4/HVSegment3
HV trip,03-MAY-17 11.40.40.134000000 AM,03-MAY-17 11.50.48.169000000 AM,1,ME-4/2/16/2/HVSegment4
HV trip,03-MAY-17 11.40.40.198000000 AM,03-MAY-17 11.50.48.129000000 AM,1,ME-4/2/16/6/HVSegment4
HV trip,03-MAY-17 11.40.40.250000000 AM,03-MAY-17 11.50.48.084000000 AM,1,ME-4/2/16/4/HVSegment1
HV trip,03-MAY-17 11.40.40.306000000 AM,03-MAY-17 11.50.48.003000000 AM,1,ME-4/2/16/1/HVSegment1
HV trip,03-MAY-17 11.40.40.383000000 AM,03-MAY-17 11.50.47.968000000 AM,1,ME-4/2/16/3/HVSegment3
HV trip,03-MAY-17 11.40.40.453000000 AM,03-MAY-17 11.50.47.925000000 AM,1,ME-4/2/16/6/HVSegment1
HV trip,03-MAY-17 11.40.40.758000000 AM,03-MAY-17 11.50.47.896000000 AM,1,ME-4/2/16/2/HVSegment2
HV trip,03-MAY-17 11.40.41.119000000 AM,03-MAY-17 11.50.47.837000000 AM,1,ME-4/2/16/1/HVSegment5
HV trip,03-MAY-17 11.40.41.233000000 AM,03-MAY-17 11.50.47.810000000 AM,1,ME-4/2/16/3/HVSegment2
HV trip,03-MAY-17 11.40.41.317000000 AM,03-MAY-17 11.50.47.778000000 AM,1,ME-4/2/16/5/HVSegment1
HV trip,03-MAY-17 11.40.41.401000000 AM,03-MAY-17 11.50.47.749000000 AM,1,ME-4/2/16/2/HVSegment1
HV trip,03-MAY-17 11.40.41.467000000 AM,03-MAY-17 11.50.47.723000000 AM,1,ME-4/2/16/1/HVSegment3
HV trip,03-MAY-17 11.40.41.531000000 AM,03-MAY-17 11.50.47.695000000 AM,1,ME-4/2/16/6/HVSegment2
HV trip,03-MAY-17 11.40.41.593000000 AM,03-MAY-17 11.50.47.665000000 AM,1,ME-4/2/16/1/HVSegment4
HV trip,03-MAY-17 11.40.41.641000000 AM,03-MAY-17 11.50.47.637000000 AM,1,ME-4/2/16/5/HVSegment3
HV trip,03-MAY-17 11.40.41.708000000 AM,03-MAY-17 11.50.47.606000000 AM,1,ME-4/2/16/3/HVSegment4
HV trip,03-MAY-17 11.40.41.795000000 AM,03-MAY-17 11.50.47.564000000 AM,1,ME-4/2/16/3/HVSegment1
HV trip,22-MAY-17 06.30.38.389000000 PM,22-MAY-17 06.40.48.388000000 PM,1,ME-4/2/35/5/HVSegment1
HV trip,22-MAY-17 10.19.48.323000000 PM,22-MAY-17 10.29.51.815000000 PM,1,ME-4/2/35/5/HVSegment1
HV trip,28-MAY-17 10.36.32.778000000 PM,28-MAY-17 10.46.36.364000000 PM,1,ME+2/1/07/2/HVSegment1
HV trip,28-MAY-17 11.16.49.075000000 PM,28-MAY-17 11.26.52.467000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,29-MAY-17 01.26.05.661000000 AM,29-MAY-17 01.36.08.984000000 AM,1,ME-2/1/09/2/HVSegment1
HV trip,29-MAY-17 01.28.01.306000000 AM,29-MAY-17 01.38.04.630000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,29-MAY-17 04.55.19.033000000 AM,29-MAY-17 05.05.22.573000000 AM,1,ME+2/1/11/3/HVSegment3
HV trip,29-MAY-17 05.20.31.611000000 AM,29-MAY-17 05.30.34.915000000 AM,1,ME+2/1/07/2/HVSegment1
HV trip,29-MAY-17 05.23.49.145000000 AM,29-MAY-17 05.33.52.597000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,29-MAY-17 07.18.07.261000000 AM,29-MAY-17 07.28.10.743000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,29-MAY-17 07.47.55.344000000 AM,29-MAY-17 07.57.58.736000000 AM,1,ME+4/2/18/6/HVSegment5
HV trip,30-MAY-17 11.10.18.970000000 AM,30-MAY-17 11.20.22.300000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,30-MAY-17 11.43.19.098000000 AM,30-MAY-17 11.53.22.773000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,30-MAY-17 12.06.49.936000000 PM,30-MAY-17 12.16.53.269000000 PM,1,ME+2/1/07/2/HVSegment1
HV trip,30-MAY-17 12.47.08.921000000 PM,30-MAY-17 12.57.19.031000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,30-MAY-17 01.52.34.548000000 PM,30-MAY-17 02.02.37.887000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,30-MAY-17 02.38.19.603000000 PM,30-MAY-17 02.48.22.981000000 PM,1,ME+4/2/24/6/HVSegment5
HV trip,30-MAY-17 02.46.55.017000000 PM,30-MAY-17 02.56.58.332000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,30-MAY-17 02.52.19.007000000 PM,30-MAY-17 03.02.22.372000000 PM,1,ME+4/2/30/6/HVSegment5
HV trip,30-MAY-17 04.17.04.781000000 PM,30-MAY-17 04.27.08.070000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,30-MAY-17 04.38.39.914000000 PM,30-MAY-17 04.48.49.019000000 PM,1,ME+2/1/11/3/HVSegment3
HV trip,30-MAY-17 04.52.02.070000000 PM,30-MAY-17 05.02.05.477000000 PM,1,ME+2/1/13/6/HVSegment2
HV trip,30-MAY-17 08.57.36.064000000 PM,30-MAY-17 09.07.39.924000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,30-MAY-17 09.12.59.164000000 PM,30-MAY-17 09.23.02.558000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 09.29.48.889000000 PM,30-MAY-17 09.39.52.269000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 09.52.49.705000000 PM,30-MAY-17 10.02.53.070000000 PM,1,ME+3/1/14/6/HVSegment3
HV trip,30-MAY-17 10.10.48.799000000 PM,30-MAY-17 10.20.52.263000000 PM,1,ME+3/1/14/6/HVSegment3
